,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
465,"Аккумуляторный шуруповерт INGCO б/щ 20B, 52 Нм Li-ion INDUSTRIAL CDLI204531",10 мм,,,,,Max крутящий момент : 52 Нм,0.9 кг,,нет,,,20 мм,,,20 В,,,,,Li-Ion,,,,
466,Аккумуляторная ударная дрель-шуруповёрт Einhell PXC TE-CD 18/50 Li-i BL-Solo 4513942,,,50 Нм,,56,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.34 кг,,нет,,10 мм,,,,18 В,,,,,Li-Ion,,,,
467,"Ударная дрель-шуруповерт ЗУБР 18В, без АКБ, в коробке ДШУ-185",12 мм,,40 Нм,,15,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.2 кг,,нет,,,28 мм,10 мм,,18 В,,,,,Li-Ion,,,,
468,"Дрель-шуруповерт Hammer Flex 280 Вт, 10 мм, 0-750 об/мин, реверс, 22 Нм DRL400A",10 мм,8 мм,22 Нм,,16,,1.34 кг,,,,,20 мм,,280 Вт,,,нет,,,,,,,0-750 об/мин
469,"Аккумуляторная дрель Hammer (13180) бесщеточная, 12в 2x2ач liion, 10мм 0-400/0-1350 об/мин, 32нм в кейсе ACD12BLC 827375",8 мм,,32 Нм,,15,,1.7 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
470,Сетевая дрель-шуруповерт Crown CT10152,10 мм,10 мм,80 Нм,,25,,1.62 кг,2 м,,,,35 мм,,420 Вт,,,нет,,,,,,,0-480/0-1800 об/мин
471,Аккумуляторный ударный шуруповерт Makita DTD154RFE,,,175 Нм,,19,,1.2 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
472,"Аккумуляторная ударная дрель-шуруповерт Felisatti ДАУ-13/18Л3 Li-Ion, 1 аккум. 4 А.ч. и ЗУ, кейс 5704.5.1.00",13 мм,,60 Нм,,5,,1.42 кг,,есть,,8 мм,35 мм,,,18 В,,,,,Li-Ion,,,,
473,Аккумуляторная дрель-шуруповерт EDON UAD-16BL 27518,,,,,,Max крутящий момент : 30 Нм,0.8 кг,,есть,,,,,,16 В,,,,,Li-Ion,,,,
474,Шуруповерт аккумуляторный бесщеточный REDVERG RD-SD12BL 6679855,10 мм,,,,,Max крутящий момент : 36 Нм,1.6 кг,,есть,,,28 мм,,,12 В,,,,,Li-Ion,,,,
475,Аккумуляторная дрель-шуруповерт WÖRB WORB GSB-2036E-2LI,,,65 Нм,,1,,1.45 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
476,"Аккумуляторная дрель Hammer 12 В, 2x2 Ач, Li-ION, 10 мм, 0-350/0-1400 об/мин, 28 Нм ACD122QC",8 мм,,28 Нм,,257,,,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
477,Сетевая дрель-шуруповерт PATRIOT FS 313 120301413,10 мм,,35 Нм,,15,,1.54 кг,5.5 м,,,,20 мм,,300 Вт,,,есть,,,,,,,0-1400 об/мин
478,Аккумуляторный ударный шуруповерт FLEX PD 2G 18.0-EC FS55BC/5.0 516171,13 мм,,,,,Max крутящий момент : 75 Нм,1.6 кг,,есть,,16 мм,60 мм,,,18 В,,,,,Li-Ion,,,,
479,Сетевой шуруповерт ПУЛЬСАР ДШ 350 792-223,8 мм,,23 Нм,,12,,1.4 кг,1.8 м,,,,20 мм,,350 Вт,,,,,,,,,,0 - 750 об/мин
480,"Аккумуляторная безударная дрель ПУЛЬСАР ДА 12-23 12В, 23 Hm, Li-on, 1,5 Ah, 2 аккумулятора, 1.3 кг, коробка 916-936",10 мм,,23 Нм,,1,"Два аккумулятора по 1,5 Ач в комплекте – для продолжительной работы",1.1 кг,,есть,,,23 мм,,,12 В,,,,,Li-Ion,,,,
481,"Дрель-шуруповерт аккумуляторная бесщеточная Zitrek Greenpower 20 PRO в кейсе, 20В, 2x2.0Ач 085-1314",10 мм,,45 Нм,,2,,1.53 кг,,есть,,,25 мм,,,20 В,,,,,Li-Ion,,,,
482,Аккумуляторная дрель-шуруповерт Makita DF333DWYE,10 мм,,30 Нм,,479,Малый вес и компактный размер - работайте легко!,1.1 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
